scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level,source_link,row_index
Dyoplosaurus,Dyoplosaurus,Double-armored lizard,Herbivore,4.5,1500.0,1.2,Quadrupedal,Late Cretaceous,Canada,Slow-moving; tail used for defense,1924,"Dinosaur Park Formation, Alberta, Canada",Clubbed tail; heavy body armor,Low,https://en.wikipedia.org/wiki/Dyoplosaurus,316
Kritosaurus,Kritosaurus,Separated lizard,Herbivore,9.0,2500.0,3.5,Quadrupedal,Late Cretaceous,United States (New Mexico),Possibly social; may have had a soft tissue crest on head,1904,"Ojo Alamo Formation, New Mexico",Arched nasal bone; possible crest,Medium,https://en.wikipedia.org/wiki/Kritosaurus,317
Aardonyx,Aardonyx,Earth claw,Herbivore,7.5,1700.0,1.8,Bipedal (facultative quadruped),Early Jurassic,South Africa,Transitional form between bipedal and quadrupedal; fed on low vegetation,2004,"Free State Province, South Africa",Robust claws; transitional forelimb anatomy,Medium,https://en.wikipedia.org/wiki/Aardonyx,318
Achillobator,Abdarainurus,Abdrant Nuru tail,Herbivore,13.0,,4.0,Quadrupedal,Late Cretaceous,Mongolia,Likely herd behavior; specialized tail vertebrae,1970 (described 2020),"Alagteeg Formation, Mongolia",Very elongated neural spines on tail vertebrae,Low,https://en.wikipedia.org/wiki/Abdarainurus,319
Acristavus,Acristavus,Non-crested grandfather,Herbivore,9.0,3000.0,3.0,Quadrupedal,Late Cretaceous,"North America (Montana, Utah)",Non-crested hadrosaur; likely social and grazed in herds,1999 (described 2011),"Two Medicine Formation, Montana",Lacked cranial crest unlike relatives,Medium,https://en.wikipedia.org/wiki/Acristavus,320
Acrocanthosaurus,Acrocanthosaurus,High-spined lizard,Carnivore,11.5,6000.0,4.5,Bipedal,Early Cretaceous,"North America (Oklahoma, Texas)",Top predator; may have hunted large sauropods,1940s (described 1950),"Aptian-aged Antlers Formation, Oklahoma",Neural spines forming a ridge along the back,Medium,https://en.wikipedia.org/wiki/Acrocanthosaurus,321
Acrotholus,Acrotholus,High dome (skull),Herbivore,1.8,40.0,0.7,Bipedal,Late Cretaceous,Canada (Alberta),"Small, dome-headed pachycephalosaur",2008 (described 2013),"Dinosaur Park Formation, Alberta",Thickened dome-shaped skull used in headbutting,Low,https://en.wikipedia.org/wiki/Acrotholus,322
Adamantisaurus,Adamantisaurus,Adamantina lizard,Herbivore,12.0,12000.0,4.0,Quadrupedal,Late Cretaceous,Brazil,Known from partial tail; classification uncertain,1959 (described 2006),"Bauru Group, Brazil","Titanosaur tail vertebrae, few remains",Unknown,https://en.wikipedia.org/wiki/Adamantisaurus,323
Adasaurus,Adasaurus,Ada lizard,Carnivore,2.4,35.0,1.0,Bipedal,Late Cretaceous,Mongolia,Raptor with sickle claw; smaller relative of Velociraptor,1970 (described 1983),"Nemegt Formation, Mongolia",Sickle claw; close to dromaeosaurids,High,https://en.wikipedia.org/wiki/Adasaurus,324
Adeopapposaurus,Adeopapposaurus,Far-eating lizard,Herbivore,4.0,250.0,1.5,Bipedal,Early Jurassic,Argentina,Possible sauropod ancestor with elongated neck,1990s (described 2009),"Cañón del Colorado Formation, Argentina",Long neck; prosauropod transition,Medium,https://en.wikipedia.org/wiki/Adeopapposaurus,325
Adratiklit,Adratiklit,Mountain lizard,Herbivore,6.0,2000.0,2.0,Quadrupedal,Middle Jurassic,Morocco,Earliest known stegosaur from North Africa,Discovered before 2019 (described 2019),"El Mers Group, Middle Atlas, Morocco",Long vertebral processes; early stegosaur traits,Low,https://en.wikipedia.org/wiki/Adratiklit,326
Adynomosaurus,Adynomosaurus,Weak-shouldered lizard,Herbivore,4.0,800.0,2.0,Quadrupedal,Late Cretaceous,Spain,European hadrosaur; limited shoulder development,2018,"Conques Formation, Spain",Underdeveloped scapula compared to relatives,Medium,https://en.wikipedia.org/wiki/Adynomosaurus,327
Aegyptosaurus,Aegyptosaurus,Egypt lizard,Herbivore,15.0,8000.0,5.0,Quadrupedal,Late Cretaceous,"Northern Africa (Egypt, Niger)",Long-necked sauropod; known from limited remains,1910s (described 1932),"Bahariya Formation, Egypt",Vertebrae and limb bones only,Low,https://en.wikipedia.org/wiki/Aegyptosaurus,328
Aeolosaurus,Aeolosaurus,Aeolus lizard (wind god),Herbivore,14.0,10000.0,4.5,Quadrupedal,Late Cretaceous,"Argentina, Brazil",Titanosaur; known from tail and vertebrae,1987,"Patagonia, Argentina",Tail vertebrae with unique chevron bones,Low,https://en.wikipedia.org/wiki/Aeolosaurus,329
Aepisaurus,Aepisaurus,Late lizard (Greek Αἴψις = lofty),Herbivore,15.0,8000.0,5.0,Quadrupedal,Late Cretaceous,France,"Large, rare sauropod; limited material known",1852,"Lot Formation, southern France",Large limb bones; fragmentary,Low,https://en.wikipedia.org/wiki/Aepisaurus,330
Aerosteon,Aerosteon,Air bone,Carnivore,12.0,2500.0,4.0,Bipedal,Late Cretaceous,Argentina,Pneumatic bones suggests bird-like air sacs,1996,"Anacleto Formation, Argentina",Air-filled bones; evidence of respiratory system,High,https://en.wikipedia.org/wiki/Aerosteon,331
Aetonyx,Aetonyx,Eagle claw,Carnivore,1.5,20.0,0.5,Bipedal,Late Triassic,South Africa,Early theropod; grasping claws,2005,"Elliot Formation, South Africa",Hands/claws; primitive theropod features,Medium,https://en.wikipedia.org/wiki/Aetonyx,332
Afrovenator,Afrovenator,African hunter,Carnivore,9.0,2000.0,3.0,Bipedal,Middle Jurassic,Mali,African megalosaurid predator,1993,"Madiama Formation, Mali",Meat‑eating teeth; limb elements preserved,Medium,https://en.wikipedia.org/wiki/Afrovenator,333
Agathaumas,Agathaumas,Iridescent splendor,Ceric unknown,9.0,4000.0,2.5,Quadrupedal,Late Cretaceous,North America,one of the first ceratopsians found,1872,"Lance Formation, Wyoming",Large frill; historically important,Medium,https://en.wikipedia.org/wiki/Agathaumas,334
Agilisaurus,Agilisaurus,Quick lizard,Herbivore,3.5,200.0,1.2,Bipedal,Middle Jurassic,China,Ornithischian; likely agile runner,1980s,"Gezhouba Quarry, China",Slender limbs; early ornithopod features,Medium,https://en.wikipedia.org/wiki/Agilisaurus,335
Agrosaurus,Agrosaurus,Farmer lizard,Herbivore,6.0,1000.0,2.0,Bipedal,Triassic,Australia,Possibly same as Thecodontosaurus; disputed,Mid 19th century,"Queensland, Australia",Isolated bones; classification uncertain,Medium,https://en.wikipedia.org/wiki/Agrosaurus,336
Agujaceratops,Agujaceratops,Aguja horned face,Herbivore,4.5,2000.0,2.0,Quadrupedal,Late Cretaceous,"Texas, USA",Chasmosaurine ceratopsid; elaborate frill,1938 (described 2006),"Aguja Formation, Texas",Long frill with ornamental spikes,Medium,https://en.wikipedia.org/wiki/Agujaceratops,337
Agustinia,Agustinia,Agustin’s lizard,Herbivore,15.0,10000.0,6.0,Quadrupedal,Late Cretaceous,Argentina,Titanosaur with osteoderms; odd armor,1995,"Paleocene (likely Cretaceous) Mendoza Province, Argentina",Bony armor plates; weird armored titanosaur,Low,https://en.wikipedia.org/wiki/Agustinia,338
Ahshislepelta,Ahshislepelta,"Ah-shi-sle-pelta (Navajo for ""surface"")",Herbivore,4.0,600.0,1.5,Quadrupedal,Late Cretaceous,"New Mexico, USA",Ankylosaur; rare with partial armor,2005,"Pinenut Formation, New Mexico",Partial armored plates; nodosaurid traits,Low,https://en.wikipedia.org/wiki/Ahshislepelta,339
Airakoraptor,Airakoraptor,Eagle thief,Carnivore,2.0,50.0,0.8,Bipedal,Mid Cretaceous,Kazakhstan,Possible dromaeosaurid; scant remains,2010,"Kyzyl Kum Desert, Kazakhstan",Partial hand talon; predatory dromaeosaur traits,High,https://en.wikipedia.org/wiki/Airakoraptor,340
Ajkaceratops,Ajkaceratops,horned face from Ajka,Herbivore,1.0,25.0,0.4,Quadrupedal,Late Cretaceous (Santonian),Europe (Hungary),Small ceratopsian; likely low browser; island migration,2010,"Iharkút, Hungary",Beaked skull; first European ceratopsian,Low,https://en.wikipedia.org/wiki/Ajkaceratops,341
Akainacephalus,Albertadromeus,runner from Alberta,Herbivore,2.0,40.0,0.5,Bipedal,Late Cretaceous (Campanian),North America (Alberta),Cursorial herbivore; likely traveled in herds,2013,"Oldman Formation, Alberta",Elongated tibia and fused fibula for speed,Low,https://en.wikipedia.org/wiki/Albertadromeus,342
Alamosaurus,Alamosaurus,Alamo lizard,Herbivore,21.0,32000.0,7.5,Quadrupedal,Late Cretaceous (Maastrichtian),North America (USA),Large sauropod; likely solitary or small group grazer,1922,"Texas, USA",One of the largest North American dinosaurs; long neck and tail,Low,https://en.wikipedia.org/wiki/Alamosaurus,343
Alaskacephale,Alaskacephale,Alaska head,Herbivore,1.5,15.0,0.6,Bipedal,Late Cretaceous (Maastrichtian),North America (Alaska),Pachycephalosaurid; possible headbutting behavior,2006,"North Slope, Alaska",Dome-shaped thick skull; cold-environment adaptation,Possibly medium,https://en.wikipedia.org/wiki/Alaskacephale,344
Albalophosaurus,Albalophosaurus,white crest lizard,Herbivore,2.0,30.0,1.0,Bipedal,Early Cretaceous (Barremian–Aptian),Asia (Japan),Small ceratopsian or ornithopod; limited remains,2009,"Fukui Prefecture, Japan",Partial skull with nasal crest,Unknown,https://en.wikipedia.org/wiki/Albalophosaurus,345
Albertaceratops,Albertaceratops,horned face from Alberta,Herbivore,5.0,1000.0,2.0,Quadrupedal,Late Cretaceous (Campanian),North America (Alberta),Horned dinosaur; mixed primitive and derived features,2001,"Oldman Formation, Alberta",Long brow horns; short frill; centrosaurine traits,Low,https://en.wikipedia.org/wiki/Albertaceratops,346
Albertadromeus,Albertadromeus,runner from Alberta,Herbivore,2.0,40.0,0.5,Bipedal,Late Cretaceous (Campanian),North America (Alberta),Cursorial herbivore; likely traveled in herds,2013,"Oldman Formation, Alberta",Elongated tibia and fused fibula for speed,Low,https://en.wikipedia.org/wiki/Albertadromeus,347
Albertonykus,Albertonykus,Alberta claw,Insectivore,0.7,1.0,0.3,Bipedal,Late Cretaceous (Campanian),North America (Alberta),Used claws to dig into wood for insects,2008,"Horseshoe Canyon Formation, Alberta",Small alvarezsaurid with large digging claws,High,https://en.wikipedia.org/wiki/Albertonykus,348
Albinykus,Albinykus,Alb Insect,Omnivore,0.6,0.9,0.25,Bipedal,Late Cretaceous (Campanian),Asia (Mongolia),Possibly fed on insects and small prey; agile runner,2011,"Djadochta Formation, Mongolia",One of the smallest known dinosaurs; fused ankle bones,High,https://en.wikipedia.org/wiki/Albinykus,349
Alcovasaurus,Alcovasaurus,Alcova lizard,Herbivore,8.0,2500.0,3.5,Quadrupedal,Late Jurassic (Kimmeridgian),"North America (Wyoming, USA)",Armored; possibly solitary browser,1908 (reassigned in 2015),"Morrison Formation, Wyoming",Closely related to Stegosaurus; distinct tail spikes,Low,https://en.wikipedia.org/wiki/Alcovasaurus,350
Aletopelta,Aletopelta,Wandering shield,Herbivore,5.0,2000.0,2.0,Quadrupedal,Late Cretaceous (Campanian),"North America (California, USA)",Armored herbivore; likely slow-moving,1987 (named in 2001),"Point Loma Formation, California",Heavy armor plates; ankylosaur with unknown skull,Low,https://en.wikipedia.org/wiki/Aletopelta,351
Algoasaurus,Algoasaurus,Algoa lizard,Herbivore,9.0,4000.0,3.5,Quadrupedal,Early Cretaceous (Valanginian),Africa (South Africa),Sauropod; limited fossil material,1904,"Enon Formation, South Africa",One of the first dinosaurs discovered in Africa,Low,https://en.wikipedia.org/wiki/Algoasaurus,352
Alnashetri,Alnashetri,slender hip,Carnivore,0.8,3.0,0.3,Bipedal,Late Cretaceous (Turonian),South America (Argentina),"Small agile predator, possibly insectivorous",2012,"Cerro Lisandro Formation, Argentina",Slender hind limbs; likely fast runner,High,https://en.wikipedia.org/wiki/Alnashetri,353
Alocodon,Alocodon,furrow tooth,Herbivore,1.2,10.0,0.5,Bipedal,Late Jurassic or Early Cretaceous (uncertain),Europe (Portugal or UK),Possibly small ornithopod or basal ceratopsian,1973,Lourinhã or Wealden formations (disputed),Only teeth found; taxonomic status uncertain,Unknown,https://en.wikipedia.org/wiki/Alocodon,354
Altirhinus,Altirhinus,high nose,Herbivore,8.0,3000.0,3.0,Bipedal/Facultative quadruped,Early Cretaceous (Aptian),Asia (Mongolia),Iguanodontian browser with tall nasal arch,1998,"Khuren Dukh Formation, Mongolia",Tall nasal arch; beaked mouth; strong forelimbs,Medium,https://en.wikipedia.org/wiki/Altirhinus,355
Altispinax,Altispinax,high spine,Carnivore,8.0,2000.0,3.0,Bipedal,Early Cretaceous (Valanginian),Europe (England),Likely predator; related to other spinosaurids,1923 (teeth from earlier finds),"Weald Clay, Sussex, UK",High dorsal spines; possibly part of sail structure,Medium,https://en.wikipedia.org/wiki/Altispinax,356
Alwalkeria,Alwalkeria,Alwalk's creature,Omnivore,1.5,5.0,0.6,Bipedal,Triassic (Carnian),Asia (India),Early dinosaur; primitive features,1987 (named 2000),"Malakota Formation, India",Mixed basal traits; early saurischian,Medium,https://en.wikipedia.org/wiki/Alwalkeria,357
Alxasaurus,Alxasaurus,Alxa lizard,Omnivore,4.0,400.0,2.0,Bipedal,Early Cretaceous (Aptian),"Asia (Inner Mongolia, China)",Therizinosauroid with long claws and likely feathered,1993,"Bayin-Gobi Formation, Inner Mongolia","Long claws, small head, herbivorous traits in theropod",High,https://en.wikipedia.org/wiki/Alxasaurus,358
Amargatitanis,Amargatitanis,Amarga giant,Herbivore,12.0,10000.0,5.0,Quadrupedal,Early Cretaceous (Barremian–Aptian),South America (Argentina),Titanosaurid sauropod; named after La Amarga,2007,"La Amarga Formation, Argentina",Titanosaur traits; robust limb bones,Low,https://en.wikipedia.org/wiki/Amargatitanis,359
Amazonsaurus,Amazonsaurus,Amazon lizard,Herbivore,12.0,5000.0,4.0,Quadrupedal,Early Cretaceous (Aptian),South America (Brazil),Basal rebbachisaurid sauropod from Amazon Basin,2003,"Itapecuru Formation, Brazil",Lightweight build; early diplodocoid features,Low,https://en.wikipedia.org/wiki/Amazonsaurus,360
Amphicoelias,Amphicoelias,double hollow,Herbivore,,,,Quadrupedal,Late Jurassic (Kimmeridgian–Tithonian),"North America (Colorado, USA)",Possibly the longest dinosaur ever; highly disputed,1878,"Morrison Formation, Colorado",Extremely long vertebrae; record-breaking size claims,Low,https://en.wikipedia.org/wiki/Amphicoelias,361
Amtocephale,Amtocephale,Amto head,Herbivore,1.5,20.0,0.7,Bipedal,Late Cretaceous (Santonian),Asia (Mongolia),Pachycephalosaurid; dome-headed herbivore,2011,"Baynshiree Svita, Mongolia",Oldest known pachycephalosaur; thick skull dome,Medium,https://en.wikipedia.org/wiki/Amtocephale,362
Amtosaurus,Amtosaurus,Amto lizard,Herbivore,5.0,1000.0,2.0,Bipedal?,Late Cretaceous (Cenomanian),Asia (Mongolia),Poorly known; possibly a hadrosaur or ankylosaur,1981,"Amto-Gai Formation, Mongolia",Known only from fragmentary skull; classification debated,Unknown,https://en.wikipedia.org/wiki/Amtosaurus,363
Amurosaurus,Amurosaurus,Amur lizard,Herbivore,6.0,3000.0,3.0,Quadrupedal,Late Cretaceous (Maastrichtian),Asia (Russia),Lambeosaurine hadrosaur with cranial crest,1991,"Blagoveschensk, Russia",Well-preserved skull; hollow crest structure,Medium,https://en.wikipedia.org/wiki/Amurosaurus,364
Anabisetia,Anabisetia,named after Ana Biset,Herbivore,2.0,40.0,1.0,Bipedal,Late Cretaceous (Cenomanian),South America (Argentina),Small agile ornithopod from Patagonia,2002,"Cinco Saltos, Argentina",Long legs; fast runner; herbivorous browser,Medium,https://en.wikipedia.org/wiki/Anabisetia,365
Anasazisaurus,Anasazisaurus,Anasazi lizard,Herbivore,9.0,3000.0,3.0,Quadrupedal,Late Cretaceous (Campanian),"North America (New Mexico, USA)",Hadrosaurid with raised nasal crest,1993,"Kirtland Formation, New Mexico",Crested skull; named after Anasazi culture,Low,https://en.wikipedia.org/wiki/Anasazisaurus,366
Anatosaurus,Anatosaurus,duck lizard,Herbivore,10.0,4000.0,3.5,Quadrupedal,Late Cretaceous (Maastrichtian),North America (USA),Hadrosaurid with broad duck-like beak,1942 (now synonymized with Edmontosaurus),"Hell Creek Formation, USA",Broad flat snout; toothless beak,Medium,https://en.wikipedia.org/wiki/Anatosaurus,367
Anatotitan,Anatotitan,giant duck,Herbivore,12.0,5000.0,4.0,Quadrupedal,Late Cretaceous (Maastrichtian),North America (USA),Large hadrosaurid; may be synonym of Edmontosaurus,1990 (reclassified from Trachodon),"Hell Creek Formation, USA",Long broad beak; advanced chewing system,Medium,https://en.wikipedia.org/wiki/Anatotitan,368
Andesaurus,Andesaurus,lizard from the Andes,Herbivore,15.0,6000.0,5.0,Quadrupedal,Early Cretaceous (Aptian–Albian),South America (Argentina),Titanosaur sauropod with primitive features,1991,"Cerro Barcino Formation, Argentina",Massive size; early representative of titanosaurs,Low,https://en.wikipedia.org/wiki/Andesaurus,369
Angaturama,Angaturama,"(possibly ""noble spirit"")",Carnivore,6.0,1000.0,2.5,Bipedal,Early Cretaceous (Aptian),South America (Brazil),Spinosaurid with long snout and conical teeth,1996,"Santana Formation, Brazil",Closely related to Irritator; fragmentary remains,Medium,https://en.wikipedia.org/wiki/Angaturama,370
Angolatitan,Angolatitan,giant from Angola,Herbivore,13.0,5000.0,5.0,Quadrupedal,Late Cretaceous (Cenomanian),Africa (Angola),Early titanosauriform; first Angolan dinosaur,2011,"Itombe Formation, Angola",Long neck; basal traits among titanosaurs,Low,https://en.wikipedia.org/wiki/Angolatitan,371
Angulomastacator,Angulomastacator,bent chewer,Herbivore,4.5,800.0,1.5,Quadrupedal,Late Cretaceous (Campanian),"North America (Texas, USA)",Hadrosaurid with unusual curved jaw,2007,"Aguja Formation, Texas",Unique downward-curving maxilla,Medium,https://en.wikipedia.org/wiki/Angulomastacator,372
Aniksosaurus,Aniksosaurus,unequal lizard,Carnivore,2.0,25.0,0.8,Bipedal,Late Cretaceous (Cenomanian),South America (Argentina),Small coelurosaur; possibly gregarious,2006,"Cerro Barcino Formation, Argentina",Fossils found in group; agile predator,Medium,https://en.wikipedia.org/wiki/Aniksosaurus,373
Animantarx,Animantarx,living fortress,Herbivore,3.0,300.0,1.5,Quadrupedal,Late Cretaceous (Cenomanian),"North America (Utah, USA)",Nodosaurid; heavily armored body,1999,"Mussentuchit Member, Utah",Discovered via radiological scan before excavation,Low,https://en.wikipedia.org/wiki/Animantarx,374
Anodontosaurus,Anodontosaurus,toothless lizard,Herbivore,6.0,2500.0,2.0,Quadrupedal,Late Cretaceous (Maastrichtian),North America (Canada),Ankylosaurid with tail club and heavy armor,1929 (reclassified later),"Horseshoe Canyon Formation, Alberta",Tail club with unique structure; armored skull,Low,https://en.wikipedia.org/wiki/Anodontosaurus,375
Anoplosaurus,Anoplosaurus,unarmored lizard,Herbivore,4.0,300.0,1.2,Quadrupedal,Early Cretaceous (Albian),Europe (England),Possibly a nodosaurid lacking armor,1879,"Cambridge Greensand, England",Known from juvenile remains; classification debated,Unknown,https://en.wikipedia.org/wiki/Anoplosaurus,376
Antarctopelta,Antarctopelta,Antarctic shield,Herbivore,4.0,400.0,1.5,Quadrupedal,Late Cretaceous (Campanian),Antarctica,First dinosaur discovered in Antarctica,1986 (named in 2006),"James Ross Island, Antarctica",Armored body; survived near-polar climate,Low,https://en.wikipedia.org/wiki/Antarctopelta,377
Antetonitrus,Antetonitrus,before thunder,Herbivore,10.0,5000.0,4.5,Quadrupedal,Triassic (Norian),Africa (South Africa),Early sauropodomorph; transitional features,2003,"Elliot Formation, South Africa",Combined traits of prosauropods and sauropods,Low,https://en.wikipedia.org/wiki/Antetonitrus,378
Antrodemus,Antrodemus,chambered body,Carnivore,9.0,2000.0,3.0,Bipedal,Late Jurassic (Kimmeridgian),North America (USA),Possibly a synonym of Allosaurus,1870,"Morrison Formation, Colorado",Single vertebra; taxonomic status uncertain,Medium,https://en.wikipedia.org/wiki/Antrodemus,379
Anzu,Anzu,feathered demon,Omnivore,3.5,200.0,1.8,Bipedal,Late Cretaceous (Maastrichtian),"North America (South Dakota, USA)",Oviraptorosaur with crest and claws,2014,"Hell Creek Formation, South Dakota","Crested head, long arms, birdlike body",High,https://en.wikipedia.org/wiki/Anzu_wyliei,380
Aoniraptor,Aoniraptor,Aoni raptor,Carnivore,6.0,700.0,2.0,Bipedal,Late Cretaceous (Campanian),South America (Argentina),Megaraptoran theropod with long neural spines,2016,"Huincul Formation, Argentina",Closely related to Gualicho; spine fragments found,Medium,https://en.wikipedia.org/wiki/Aoniraptor,381
Aorun,Aorun,Aorun (Chinese dragon),Carnivore,1.0,3.0,0.5,Bipedal,Jurassic (Oxfordian),Asia (China),Small basal coelurosaur; juvenile specimen,2013,"Shishugou Formation, Xinjiang, China",One of the earliest known coelurosaurs,High,https://en.wikipedia.org/wiki/Aorun,382
Apatodon,Apatodon,deceptive tooth,Unknown,,,,Unknown,Late Cretaceous (Maastrichtian),North America (USA),Very poorly known; may not be a dinosaur,1877,"Judith River Formation, Montana",Only a single tooth fragment known; doubtful genus,Unknown,https://en.wikipedia.org/wiki/Apatodon,383
Appalachiosaurus,Appalachiosaurus,Appalachian lizard,Carnivore,7.5,1500.0,2.5,Bipedal,Late Cretaceous (Campanian),"North America (Alabama, USA)",Tyrannosauroid; apex predator of eastern North America,2005,"Demopolis Chalk, Alabama",Smaller than T. rex; long narrow skull,Medium,https://en.wikipedia.org/wiki/Appalachiosaurus,384
Aquilarhinus,Aquilarhinus,eagle snout,Herbivore,6.0,3000.0,2.5,Quadrupedal,Late Cretaceous (Campanian),"North America (Texas, USA)",Primitive hadrosaur with unique curved beak,2019,"Blufftown Formation, Texas",Beak resembles eagle's; may clarify hadrosaur origins,Medium,https://en.wikipedia.org/wiki/Aquilarhinus,385
Archaeodontosaurus,Archaeodontosaurus,ancient toothed lizard,Herbivore,8.0,2000.0,3.0,Quadrupedal,Middle Jurassic (Bathonian),Africa (Madagascar),Basal sauropod with primitive teeth,2005,"Isalo III Formation, Madagascar",Teeth resemble prosauropods; transitional traits,Low,https://en.wikipedia.org/wiki/Archaeodontosaurus,386
Archaeornithoides,Archaeornithoides,ancient bird-like form,Carnivore,0.5,1.5,0.3,Bipedal,Late Cretaceous (Campanian),Asia (Mongolia),Small troodontid or dromaeosaurid,1992,"Djadochta Formation, Mongolia",Partial skull; very birdlike traits,High,https://en.wikipedia.org/wiki/Archaeornithoides,387
Arcovenator,Arcovenator,arc hunter,Carnivore,5.0,700.0,2.0,Bipedal,Late Cretaceous (Campanian),Europe (France),Abelisaurid from Europe,2013,"Rognacian Formation, Provence, France",Closely related to Majungasaurus and Carnotaurus,Medium,https://en.wikipedia.org/wiki/Arcovenator,388
Arcusaurus,Arcusaurus,rainbow lizard,Herbivore,3.0,250.0,1.5,Quadrupedal,Triassic (Early Jurassic boundary),Africa (South Africa),Basal sauropodomorph with transitional features,2011,"Elliot Formation, South Africa",Small for a sauropodomorph; mixed primitive traits,Low,https://en.wikipedia.org/wiki/Arcusaurus,389
Arenysaurus,Arenysaurus,Areny lizard,Herbivore,5.0,2000.0,2.5,Quadrupedal,Late Cretaceous (Maastrichtian),Europe (Spain),Lambeosaurine hadrosaur; possibly survived K-Pg event,2009,"Tremp Formation, Spain",One of the last European hadrosaurs,Medium,https://en.wikipedia.org/wiki/Arenysaurus,390
Argyrosaurus,Argyrosaurus,silver lizard,Herbivore,20.0,15000.0,6.0,Quadrupedal,Late Cretaceous (Campanian–Maastrichtian),South America (Argentina),Large titanosaur sauropod with massive size,1893,Argentina,Very long tail and neck; large limb bones,Low,https://en.wikipedia.org/wiki/Argyrosaurus,391
Aristosuchus,Aristosuchus,noble crocodile,Carnivore,2.0,30.0,0.8,Bipedal,Early Cretaceous (Barremian),Europe (England),Small coelurosaur theropod,1876,"Wessex Formation, Isle of Wight",Lightweight build; possibly related to Compsognathus,Medium,https://en.wikipedia.org/wiki/Aristosuchus,392
Arkansaurus,Arkansaurus,Arkansas lizard,Carnivore,4.0,200.0,1.5,Bipedal,Early Cretaceous (Aptian),"North America (Arkansas, USA)",Primitive ornithomimosaur; Arkansas state dinosaur,2018,"Trinity Group, Arkansas",Partial foot bones; early fast-running theropod,Medium,https://en.wikipedia.org/wiki/Arkansaurus,393
Arkharavia,Arkharavia,Arkhar River,Herbivore,7.0,2500.0,3.0,Quadrupedal,Late Cretaceous (Maastrichtian),Asia (Russia),Possibly a titanosaur or hadrosaur; debated identity,2008,"Amur Region, Russia",Known from vertebrae; uncertain classification,Low,https://en.wikipedia.org/wiki/Arkharavia,394
Arstanosaurus,Arstanosaurus,Arstan lizard,Herbivore,5.0,1500.0,2.0,Quadrupedal,Late Cretaceous (Santonian–Campanian),Asia (Kazakhstan),Hadrosaurid or ceratopsian; taxonomic uncertainty,1982,"Baybishe Formation, Kazakhstan",Fragmentary skull; controversial placement,Unknown,https://en.wikipedia.org/wiki/Arstanosaurus,395
Asiaceratops,Asiaceratops,Asian horned face,Herbivore,1.0,25.0,0.6,Quadrupedal,Early Cretaceous (Albian),"Asia (Uzbekistan, Mongolia)",One of the earliest known ceratopsians,1989,"Dzharakuduk Formation, Uzbekistan",Small and primitive; teeth and jaw fossils only,Low,https://en.wikipedia.org/wiki/Asiaceratops,396
Asiatosaurus,Asiatosaurus,Asian lizard,Herbivore,15.0,12000.0,5.5,Quadrupedal,Early Cretaceous (Barremian),"Asia (China, Mongolia)",Early sauropod; based on limited jaw material,1959,"Inner Mongolia, China",One of the first named Asian dinosaurs,Low,https://en.wikipedia.org/wiki/Asiatosaurus,397
Astrodon,Astrodon,star tooth,Herbivore,15.0,10000.0,5.0,Quadrupedal,Early Cretaceous (Aptian),"North America (Maryland, USA)",State dinosaur of Maryland; sauropod of uncertain group,1859,"Patauxent Formation, Maryland",Named from star-shaped tooth cross-sections,Low,https://en.wikipedia.org/wiki/Astrodon,398
Astrophocaudia,Astrophocaudia,star tail,Herbivore,16.0,14000.0,6.0,Quadrupedal,Early Cretaceous (Albian),"North America (Texas, USA)",Titanosauriform sauropod with long tail,2012,"Trinity Group, Texas",Closely related to Sauroposeidon,Low,https://en.wikipedia.org/wiki/Astrophocaudia,399
Asylosaurus,Asylosaurus,unharmed lizard,Herbivore,2.0,40.0,1.0,Bipedal,Triassic (Norian),Europe (England),Basal sauropodomorph; early relative of Plateosaurus,1890s (named 1999),"Rhaetic Beds, England",Light frame; survived destruction of original museum,Low,https://en.wikipedia.org/wiki/Asylosaurus,400
Atacamatitan,Atacamatitan,Atacama giant,Herbivore,10.0,6000.0,4.0,Quadrupedal,Late Cretaceous (Campanian–Maastrichtian),South America (Chile),First sauropod discovered in Chile,2011,"Atacama Desert, Chile",Limited remains; titanosaur classification,Low,https://en.wikipedia.org/wiki/Atacamatitan,401
Atlantosaurus,Atlantosaurus,Atlas lizard,Herbivore,18.0,15000.0,6.0,Quadrupedal,Late Jurassic (Kimmeridgian),"North America (Colorado, USA)",One of the first sauropods named in the U.S.,1877,"Morrison Formation, Colorado",Possibly synonymous with Apatosaurus,Low,https://en.wikipedia.org/wiki/Atlantosaurus,402
Atlasaurus,Atlasaurus,Atlas Mountains lizard,Herbivore,15.0,22000.0,5.0,Quadrupedal,Middle Jurassic (Bathonian–Callovian),Africa (Morocco),Early sauropod with long forelimbs,1999,"Tiouraren Formation, Morocco",Unusual limb proportions; neck not as long as relatives,Low,https://en.wikipedia.org/wiki/Atlasaurus,403
Atsinganosaurus,Atsinganosaurus,gypsy lizard,Herbivore,8.0,3500.0,3.0,Quadrupedal,Late Cretaceous (Campanian),Europe (France),Titanosaurid sauropod from southern France,2010,"Villalbes Formation, France",One of few European titanosaurs; named for mobility,Low,https://en.wikipedia.org/wiki/Atsinganosaurus,404
